day,sleep,eat,schooltime,exercise,music
Monday,8.5,2,6.75,2,0.5
Tuesday,8,2,8,1,1
Wednesday,8.5,2,6,4.5,1
Thursday,8.5,2,4.5,2.5,1.5
Friday,8.5,2,3,3,1.5
Saturday,9,2.5,3,2,2
Sunday,9,2.5,5,2,2
